epoch,accuracy,loss,val_accuracy,val_loss
0,0.5049999952316284,6.7098565101623535,0.5895061492919922,3.5903241634368896
1,0.6391960978507996,2.5280919075012207,0.5178849101066589,2.560448169708252
2,0.6990095376968384,1.9752259254455566,0.7216174006462097,1.9880108833312988
3,0.720742404460907,2.0663678646087646,0.6158631443977356,2.699737310409546
4,0.7535340189933777,2.1243176460266113,0.7231726050376892,2.167628049850464
5,0.7869987487792969,2.0409326553344727,0.7954899072647095,1.9662364721298218
6,0.8011347055435181,2.0793874263763428,0.8009331226348877,2.114363670349121
7,0.8145014047622681,2.0585358142852783,0.7426127791404724,2.1985297203063965
8,0.8209443092346191,2.076362133026123,0.8102644085884094,2.1704468727111816
9,0.8381575345993042,2.061288595199585,0.8055987358093262,2.164090394973755
10,0.8398884534835815,2.0937507152557373,0.7651633024215698,2.2699995040893555
11,0.8556591868400574,2.0283126831054688,0.6928460597991943,2.6206836700439453
12,0.858832597732544,2.10048508644104,0.77916020154953,2.3032031059265137
13,0.8601788878440857,2.128574848175049,0.8297045230865479,2.1276485919952393
14,0.8650831580162048,2.0641634464263916,0.8234836459159851,2.272793769836426
15,0.8752764463424683,2.0020339488983154,0.8110420107841492,2.2803738117218018
16,0.8739301562309265,2.0243053436279297,0.7496111989021301,2.476637601852417
17,0.8796999454498291,1.950610637664795,0.8312597274780273,2.1655681133270264
18,0.8850851058959961,1.9296623468399048,0.8483670353889465,2.1333987712860107
19,0.8928743004798889,1.8508198261260986,0.7682737112045288,2.4070284366607666
